Variable,Name,Short name,from,to,sign
PNC_WCD,,,,,
PNC_WAU,,,,,
PNC_RCW,,,,,
PNC_SCW,,,,,
PNC_GCW,,,,,
PNR_WAU,,,,,
PNR_RCS,,,,,
PNR_RCG,,,,,
PNR_RCI,,,,,
PNR_SML,,,,,
PNR_GML,,,,,
PNR_REV,,,,,
PNR_RCR,,,,,
PNR_RFZ,,,,,
PNI_INU,,,,,
PNI_IHM,,,,,
PNI_WFZ,,,,,
PNI_RFZ,,,,,
PNI_IDE,,,,,
PNI_RCI,,,,,
PNI_SCI,,,,,
PNI_IAU,,,,,
PNI_IHA,,,,,
PNA_RCA,,,,,
PNA_SCA,,,,,
PNA_GCA,      ,,,,
PNA_RCA,,,,,
PNA_SCA,,,,,
PNA_GCA,             ,,,,
PND_RCD,,,,,
PND_SCD,,,,,
PND_GCD               ,,,,,
                     ,,,,,
